,TEXT,LABEL
0,lai haha lol not fuck awesome vote,1
1,candyfloss easy carry hope good need hug,1
2,hiphop hope lovely car good morning glad,1
3,asukaesp want replace beautiful place like toothpaste,1
4,guns love dog free six lol help,1
5,indies juiceeeee lol copy good morning yes,1
6,stage haha yes great weekend xd but,1
7,essay grocery stun laugh lol wish hawaii,1
8,eng jesse love galore celebrate belly pretty,1
9,daycaris tell great ride hope family clearly,1
10,australia great pray over wonderful father hopefully,1
11,childish lol well hand love playschool love,1
12,pepper friend redo like roadtripping sweet thanks,1
13,amazinggggg fun tear winner dog free six,1
14,tweetdeck eh fun california adventure island love,1
15,studio sexy good eve well picture but,1
16,ðµ love drink xbox friend 2day thanks,1
17,medium awesome drifting encouragement inspire similar sure,1
18,enews honour sweater hope win xp fine,1
19,nr great body charitable least get ready,1
20,hole well grow vision special tour enlightening,1
21,facewomenshallow hope win youtrouble free posits amazing,1
22,raspberry play far best wife ever good,1
23,ani wish code lot kind off movie,1
24,lunchtime good love girls interest wow soon,1
25,550 like good luck friend xo hope,1
26,utah enjoy whilst watch race promise wnt,1
27,follow friend happy dont pretty warm haha,1
28,case thanks buddy news lol jk fun,1
29,factor friend leave valley dear macabroso sunshine,1
30,steve like update ftw lovely dinner drink,1
31,floating like much kind perth friendly pup,1
32,dear summer holiday gutter annoy friend yesterday,1
33,metal cover prequel remind young lol sound,1
34,chicago great teen heart string yay survive,1
35,redir welcome world 2 hour straight maybe,1
36,enews huge stumble hope enjoy harry hopefully,1
37,exclusive apartment like drug cute not blame,1
38,horrific end love commercial like off like,1
39,degreesschoolcollege love money funny not sadness hey,1
40,o2 understand levies thanks lol okay well,1
41,quickerbut friend 2day next interesting hear friend,1
42,schedule easy thing happy someone want get,1
43,panda fun exchange cool like tell please,1
44,keg friend get good morning glad ty,1
45,medal trophy best friend excellent thank guy,1
46,panic live pretty comformfortable time best curler,1
47,state love little good night love eh,1
48,hollyoaks love weird lol dad good morning,1
49,sunday sunday enjoy even funny lol np,1
50,strange anxious kind sad best idea mm,1
51,wait lol want tell please give best,1
52,butterfly friend tera ready summer la woo,1
53,soy good morning hope wonderful husband yay,1
54,vile smart enough slap face okay smile,1
55,bah love playschool time lol np love,1
56,coldflu great song beautiful perfect haha well,1
57,ridiculous ready test original package wonderful husband,1
58,receive still bonus followfriday love commercial interesting,1
59,kholeshe love man lol new favorite nail,1
60,yahgeek hope amazing beautiful like 8hrs well,1
61,favor send thank good thanks follow haha,1
62,shutouts enjoy lovely dinner celebrate belly pretty,1
63,nowgnite tweets like believe amazing bake best,1
64,recommendation check love god off hand hand,1
65,orchestra good morning huge hangover cute although,1
66,referral welcome janet not watch thanks play,0
67,publish nice weekend l love life great,1
68,jt happy boot want mobile good song,1
69,yearscoffee heart string london good alfalfa sprout,1
70,promise wnt play fussball asset way love,1
71,audiobook good music play guitar hero party,1
72,japan love song haha thanks kent thanks,1
73,topo ashley awesome though lol www awesome,1
74,redbull station super power thanks follow lol,1
75,bedside without anxious ready good news love,1
76,paper darling friend not dollhouse super sweet,1
77,hoppusday kind money funny even celebrate belly,1
78,sentence describe love thank free mobile hard,1
79,pumpkinfeta love knitpicks thank fall interesting hear,1
80,essay happy fabric cute not blame great,1
81,connection awesome forward huge stumble yep basics,1
