,TEXT,LABEL
0,fear find perfect end need rave appreciate,1
1,daw dog die drug sky hope great,1
2,sword friend 2 sleep but hop try,1
3,jun wow not easily offend thanks take,1
4,case hopefully not up witty hope relaxing,1
5,topless boy asleep good back report best,1
6,twigs awesome may infect great song jonas,1
7,equally bad dog xd haha almost 50,1
8,train approach lol no really mess contest,1
9,vibratey lucky ok bedside onto play mario,1
10,guyssince not want but keirin whole gloomy,0
11,darwin excellent advice real ale not surprise,1
12,laden clean hug well picture facebooksomething friend,1
13,fabulous haha fun but impossible get change,1
14,cricket awesome ï with movie 2 was,1
15,sure best friend happy atm yes madam,1
16,galore win best really spain funny scary,1
17,branch haha color yay fit like angry,1
18,ad prisoner azkaban allow useful happy birthday,1
19,sch good morning care area nice shopping,1
20,shine wish best person leave lol but,1
21,lunch life cruel thank hope ok cool,1
22,barely delicious branch really divert friend lay,1
23,quite satisfying passion love dog soon getknifed,1
24,immediately easy thing fyi wisdom beautiful yes,1
25,windynot honest friend hard findtrust love stand,1
26,relationship free sofa haha love art best,1
27,forgot think adorable jacob hilarious smart hero,1
28,govt good hear josh sorry fill statusnotifier,1
29,popularity hopefully much shopping lol actually follow,1
30,cunning morning wake up div hope family,1
31,oh last minute yay contrast mora smart,1
32,putin love friday wow pak friend need,1
33,possible fun happy mother want home body,1
34,blueprint sigh fan truly love fly funny,1
35,contributor save huge hangover sweet mehubby off,1
36,sooooooo excite repo but since pal create,1
37,cinetrip week loud good night show far,1
38,gone second time catch up cirrusly important,1
39,millionaire thank enough sleep anything all great,1
40,lvaro nice collaborate fun energy thanks dude,1
41,sunk back elon like crap hope clumsy,1
42,goo help haha like long amazing season,1
43,theaters later roof ecstatic hope great ok,1
44,uuuggghhh sunny off east also dentist appointment,1
45,chinese food hope back hurt paul happy,1
46,ashley heart great amazing choice free cool,1
47,summ summary good luck footage none use,1
48,directly camera bar true lol big driver,1
49,hounsou thanks guy lol before lovely summer,1
50,yes please read recommend haha jackie heroine,1
