,TEXT,LABEL
0,ahhhhh another person tell like ah like,0
1,6 days away duke ed like really excite,1
2,watch charlie barrett good,1
3,aired bad decision over london forget gig,0
4,still waiting picture suppose say pose shaundrie,1
5,wonder anything git tract transplant want replace intestine healthy,0
6,alive toss idea damn weekend hate stay,0
7,miss 2,0
8,represent gb anyway want wish two best luck,1
9,clinch jaw sleep break habit soon possible get hard,0
10,poetry dead skin yes mainly no carson,0
11,princess commit like change ff wish order,1
12,fan feeling tactic amazing show full circus act well pic follow fb kids ye old youtube,1
13,but not follow reach maximum limit,0
14,get catch red,0
15,cluster clap freak gym no else use,0
16,hospitalhopefully alright sad n lazy friday 3,0
17,hull saturday nightnot happy hour though,0
18,really hop get ticket november 23rd emblem,0
19,morning take care,1
20,love commercial,1
21,love,1
22,morning glad well think fun news next,1
23,pour wine rock wall open house next week can not wait,1
24,off teach 4 old,1
25,news get cup coffee get back,1
26,yay panda sushi menu dinner way home,1
27,haha mun mmmmmmmmm love chicken,1
28,finalize invite list transformer hopefully empty sit leave many people watch already,0
29,not want,0
30,www great next week make sure,0
31,nice daw yung picture ko hehehe,1
32,family clearly rock life,1
33,yep seem less feature but really not need fancy need something,1
34,bank holiday mean not forget latimes,0
35,temporary thing guy hook up mac ram stick pc,0
36,goo stuff mechanic use get paint off hand face arm leg artist painter get goo,1
37,get bed guilty pleasure console wake up 645,0
38,munchkin fam ditch stuff around house hill finale movie awardswoo eminem,0
39,seriously still can not move suburb itch mage,0
40,summer need hurrrrry,1
41,shall try thanks suggestion,1
42,state affairs sad nature shit people git,0
43,ting ting not name stick head,0
44,thanks invite swamp not able make leave hopefully not,0
45,haha funny reply haha say kansas appreciate,1
46,xml sunny before actually plague support offline,1
47,lol,1
48,sadly no busy rap nick kidnap aaaaaa by,0
49,goodnight,1
50,love haha bad,0
51,known break almost 5 minute office thus,1
52,ok cut puppy world need dental least not business interview,0
53,voodoo ad lounge maclean mccain sketch cbc metro morning listen 545am talk artunexpected,1
54,stub 2 doi 3 backgroundwut guy reckon bout purple chucksoksee ya guystwitterers love,1
55,echo que aj,1
56,baby picture,1
57,not blackberry,0
58,cool watch josh green sing love voice,1
59,union nice check methodology use convention friend,1
60,mel stole ship figure thief,0
61,rest well lots fluid,1
62,not b stressedthings 1 way anotherespecially w power prayers knowkeep head up allison,1
63,think buy ingredient make monitor weekend lime mint leaf club soda already rum,1
64,nothing new try patty far beer something common start main baby,1
65,friend not never much love,0
66,air hate ted first time charity hell,0
67,rip willy voodoo bear,0
68,awful felt dick everyone point laugh never felt silly sausage,0
69,uploaded 3 new song myspace good time,1
70,ram stick around fun party sad take,1
71,pic mostly mine lol steamer,0
72,take mom hospitalhopefully alright,0
73,yeah relation expect end degreesschoolcollege etc never happen sad,0
74,frustrated,0
75,brother fly seminar,1
76,sad careful pray forester love postcard fridge good reminder,0
77,like death next investmentgoing spa need new body function via herd sleep good 4 dat,0
78,welcome thanks follow respectable enjoy,1
79,think feed up lonely,0
80,love song haha halo na yung version ng new find glory,1
81,friday nice weather want leave early but not,0
82,branch opera cafe really busy nice sit outside but rain,0
83,ä hate life sometimes cos bore,0
84,want water but hurt stand up,0
85,no free wifi sf rafting awesome sf windynot awesome,0
86,get home last night hospital long week hopefully not back anytime soon,0
87,firmly believe bad part working wait public transport boring,0
88,want watch true blood trueblood,0
89,storm keep up allele night,0
90,say beautiful like flower,1
91,ew you,1
92,alright working project off not jealous awe super illiterate,0
93,yes mainly cinnamon chain honey south throat but not able keep down even cream cracker,0
94,not want geography,0
95,lovely meet natalie happy make regular thing tweetdeck,1
96,damn sad miss last night chart somehow can not imagine celebrity sit down front comsurfing net lol,0
97,dwarf call sleepy,1
98,way dallas 2 has hour leave,0
99,sunshine take long ride old bicycle,1
100,jon kate divorce preceding start shock barely try poor kid,0
101,dog die fuck lucky miss ya cody fine malemute ever,0
102,headache sore neck back face three,0
103,summer close three 5 midterm,0
104,,1
105,pull oboe after full definitely no longer symphony level must remedy ow lip hurt,0
106,goodnighttt tweeted,1
107,venetian blind may take word,1
108,mmmm bored watch hm cousin,1
109,but away b like wait while,0
110,back seaman city meet elementary school happy,1
111,life suck nowhere kind,0
112,hardly sleep terrible phase get hot not sleep sad take mum station,0
113,really really really miss cowboy,0
114,putin,0
115,no pause button game life,1
116,oni think write song still think itï ½ impossible get true friend,0
