,TEXT,LABEL
0,ha find contact page plugin less thing custom build,1
1,guess sit tornado severe storm warninghooray outside take break,0
2,everyone else get cool sport injury story twist knee play winner dog,0
3,right weï ½ page write ruby cocoa,1
4,love andy richter back but joel,0
5,pow xd www haha say thank lord,1
6,get,1
7,wish not back,0
8,heheheh send love,1
9,not easy design cool sexy background image homepage want display hot new sex cushion,1
10,thanks need fly paitnbrush name bring linux guru,1
11,countdown thank 1 week yyyy comm health,0
12,excedrin migraine next time trust get time pain,0
13,knock door want kfc but guess sleep lol,0
14,bus extremely early bet ï ½ people miss bite not,1
15,say server busy yada yada next grumpy,0
16,working election drive round check judge equip sick much fun healthy,0
17,tire slightly ill,0
18,really stalk short stack well kind perth but panic live 9000 mile away,1
19,set up their give tip,1
20,wot want friend xo easy possible please,1
21,seriously still can not move suburb itch mage,0
22,,0
23,ãs no wicket ill let put picture,1
24,seriously not enough,0
25,omg bang pretty much melt off,0
26,not current situation but concert trip hold somebody hire hope,0
27,quote maze almost up love thank,0
28,watch army wife always make cry,0
29,barney dinosaur no imagination people think die drug but constitution,1
30,need soon not want but weight not shift self lol,0
31,paranoia run bore buy quite imaginative moon,0
32,always something new learn though,1
33,week lose pet mice mom not good job buried,0
34,tagging great time haha guy amazing love,1
35,zo,0
36,closest not realise past almost 5 monthsthat lot per,1
37,lol never say julie best friend lol but 2 little sister annoy,1
38,gh can not sleep anything up early,0
39,want seriously thinking buy online except might portuguese,0
40,class almost over,0
41,exactly like basically nonconformist heart uh type omg,1
42,wake up polish nap hope not get sick,0
43,not want hardheaded hop improve but can not keep feeling like,0
44,k night world back 2 tom up 4am,0
45,me2 sad rob ss crazy right sad,0
46,up early watch classic file rerun ftw,1
47,anon but dead cute although thinking dot th confidence 2 semi final imagine th rv lol,1
48,get home workshopexhausted get,0
49,spirit send energy over get 2 take dog vet 2 gh,0
50,not forward thursday,0
51,ty yes strongly agree w smile thing smile can not say donald trump smile often,1
52,rid him suck til later stupid sad,0
53,lol up,1
54,thanks mental image lucky woman,1
55,lol wait rachel finish two 12hour eat together 3 old,0
56,thank much,1
57,style good time charity bike swim love,1
58,smthsue hate perezhilton life suck totally ruin,0
59,,1
60,way dallas 2 has hour leave,0
61,miss baby sleep grand house missing tommy,0
62,jake smith,1
63,want before nuns campus sad sell a200 sr camera,0
64,david archuleta touch hand love really,1
65,ha ha no clue but seem bit extreme even,1
66,nobbbbbyyy tension eurovision forget friction freak exam,0
67,chuck pee legged hello couch,0
68,trade successfully haha lol about happy birthday,1
69,hehehehehe get violence bf clean even outside,0
70,probably not make due fact rescue friend later sorry,0
71,mouth filter week can not win youtrouble watch everything say wossythat good surely,1
72,sorry whose relative fly rio paris,0
73,movie hangover miss vs kid 20 hour c listening up bros no idea might paranoid,0
74,dryer fun box new top hollow heart,1
75,sinus spoke no bueno time slavery hopefully sleep,0
76,iphone lol out school beyondã um pretty random way make another vid soon,1
77,back seaman city meet elementary school happy,1
78,hmm hard no store open,1
79,sun shin almost weekend life great,1
80,morning glad well think fun news next,1
81,om bad mean not meet 2nd grade even though hat stay like,0
82,love expensive bunch flower pick garden afternoon,1
83,balanced take test shock barely screen instead,0
84,hungry jack pavlova,1
85,thanks pass word no plastic bag petition,1
86,take mom hospitalhopefully alright,0
87,hhh people bipolar not even funny haha,1
88,sorry,0
89,already use mybbworld make world 09 itinerary check lots update week always happen month before event,1
90,still no answer email send guy 2 ago,0
91,new moon trailer great can not wait movie mean taylor later really hot,1
92,sad want twithugs,0
93,movie miss much pain give credit morning,0
94,little kid really really annoy,0
95,miss soy dreamer coffee rice milk not cut oh sacrifice make child skin rash,0
96,not speak age,0
97,yay food kay boston fine take four different medication sort steroid,1
98,whedonverse bloody board update seem like another busy,1
99,feed shake head may cleanup,0
100,tax prepare jensen post,1
101,let want want grilled chicken salad much 2 ask,0
102,dad leave week book,0
103,ipod die half way thru run run no music like take shower no water,0
104,forgot think adorable jacob like disney channel,1
105,comedy good luck friend,1
106,upload bon kovi aerosmith panic disco old david cook itunes bore wo guy,0
107,panda fun exchange cool like tell please,1
108,not stop rain afternoon weather normal bring champorado,1
109,good sense humor,1
110,knackered though got college 9am,0
111,ruling cikajang fake tan back no trying,0
112,damn not even ask hk,1
113,say hi steve,1
114,haha thatï ½ stupid good answer give best thing fight laugh off like,1
115,time halo war think against computer can not afford xbox live until friday,0
116,want new bedrepaint room get proper bookshelf etc,0
117,bore volunteer help less fortunate something cell anyways lol,1
118,think forget mention people video,0
119,think feed up lonely,0
120,sorry,0
121,omg task like freak feather boa can not phone send picture bed soon,1
122,learn taxi etiquette quick,1
123,figure mine every chance get,1
124,please tell start sell cups miss community but keirin machine,0
125,take mvc 2that game fun but hard find finally get copy little while ago,0
126,mmmm bored watch hm cousin,1
127,north beach not hang neighborhood long nothing change since use school around fun,1
128,hey not knock cake love cake heroine precious no 1 lady detective agency,1
129,oh hai pretty laden,1
130,brother description itis suck,0
131,ah listen song jonas brother not gay inseparable remind young aha still hate,1
132,cause suffer brother best friend happy fabric,1
133,4 stone wot want b skin n bone not gun perfect way r xxx,0
134,perhaps competing midi file forever need little fl studio project head,1
135,tell tell lb play 2010,1
136,okay back music theaters later,1
137,claim banned still hide right no pandora,0
138,lmfaooo much fun down down tell move someone doubt,1
139,,0
140,happen peace cafã,1
141,not really down kind weird viral flu,0
142,haha still totally love song find another gr8 1 let although not really clublink l8ly,0
143,ndez sorry loss bad miss guy lol,0
144,great time last evening but still core not good either,0
145,miss game,0
146,thanks post link gizmodo stuff create send shirt,1
147,rest well lots fluid,1
148,guy always crack up cute not tire,1
149,blame pilot dead can not defend something get use unfortunately,0
150,lecture wow sound great weekend l not,1
151,pumpkinfeta love knitpicks thank fall interesting hear,1
152,promise wnt play fussball asset way love,1
153,musicmatch internees feeling like idea though free,1
154,fringe great,1
155,thanks say hello nice meet sorry burst bubble but ringaroses not actually plague thing,1
156,book can not sister guess,0
157,love aftershower,1
158,finish say prayer,1
159,wow almost 630pm sa already breakfast nice,1
160,canon tip try sleep well nice break,1
161,sorry hope not unpleasant surprise ordeal,0
162,happy lowe finish deck awesome,1
163,thanks 4 tweets,1
164,cough want stop,0
165,never hot live back home,0
166,summer fantastic easy ride mtb fiancee must start read vat tax,1
167,hi here hope like stuff,1
168,stand late around,0
169,hug sorry hear 3 week ago friend 2 yr old,0
170,overtaken cheesecake browne,0
171,harry potter clips awesome actually beyond awesome soon stoke,1
172,bright sunny off lunch old friend forward life good,1
173,kitty second best curler planet,1
174,106 clear sky open accept awesomeness give,1
175,bright early last full key west fun not really want home,0
176,not union street festival but whatever fun miss girl soo much,1
177,let call baby time still want birthday gift,0
178,walk home allison key,0
179,say goodbye great friend yesterday hate sad farewell,0
180,ha,1
181,lovely sunday enjoy beautiful,0
182,feeeeeeeeeeeeeeling pretty darn good,1
183,ok time bed goodnight,1
184,uploaded 3 new song myspace good time,1
185,cool wish hope win good luck love,1
186,thanks rediscovery daft punk alive 2007 really enjoy whilst number launching,1
187,guy never answer phone,0
188,world convince shall never man really love,0
189,morning world survive 5am assessment train session although can not part body,0
190,funny ask far lyric but theã ½ already late,1
191,unnamed heart 3 cute movie watch,1
192,wear sunday,1
193,coworkers give card money graduation none use but case thanks,1
194,myspace facebook unblock school love,1
195,suburb good lol cheek hope great time,1
196,thanks visit post billy might like seem,1
197,leave hampton get raise promotion,1
198,love host weather little tan back salon ready summer holiday,1
199,not already strip bed hopefully nice beach visit,0
200,clipping nice try help filter rubbish,1
201,6 follower 1000 help,1
202,haha thanks excellent dinner gran think change ms cottage pie,1
203,get catch red,0
204,find cute vintage dress ebay buy someone,1
205,ahahahhahaahhahh pleaseeeeee ask number last night aha xx,1
206,chiller juniors people festival interest www,1
207,meh think keep follow start scare threat,1
208,bore office usual hope pay,0
209,wake up 30 min ago 11 pm want relax bit before get thing,1
210,oh forgot follow friday case person complete legend,1
211,okay ani taxis love family grad night soon,1
212,really still light amazing miss,1
213,update lang po good eve,1
214,add account,0
215,like 6 can not back sleep,0
216,flavor hate airline lie get drunk despite,0
217,friend happy,1
218,read comic not tv,0
219,wow another supportive thank followfriday,1
220,personal fabulous ok thanks also good get,1
221,chicago no else issue hate happen poor,0
222,br exactly 25mins plzzzz w8 guy,1
223,start off slow well hope rest beautiful,0
224,notice love asukaesp weekday great sushi roll super cheap hope great weekend,1
225,sad book store not open get sweet tea,0
226,well exhaust kind give looking juicy detail but since technically threats ok,1
227,sleeping,0
228,temporary thing guy hook up mac ram stick pc,0
229,grade school every morning yes country,0
230,stumble good morning happy fucking easy carry,1
231,aaaaaa mad no star trek weekend least wiretransformers date,0
232,hop follower fixreplies,0
233,lunch break bore,0
234,oh luke not answer please try love music hear whole really,0
235,give chance use url shortening service,1
236,since start job circumcise penis scarred disfigured poor hobby,0
237,gutted prison break end,0
238,drama every past six month seriously wonder job end,0
239,best pal ud love 2 win ticket show but hong kong far,0
240,creativeness wow almost 2 lol out take,1
241,sound awesome,1
242,good morning everyone cook kitchen mine still paint no cooking,0
243,360 oh well another way sell keyboard controller guess,1
244,hello everybody quiet anybody miss via yes course,1
245,happy birthday,1
246,hel uva nice suggestion thanks get round change everything,1
247,new computer arrive,1
248,medium awesome drifting encouragement inspire similar sure,1
249,chilling least,1
250,hell weekend gone second friday wake up monday sad sad sad state affairs,0
251,gonna take sulfate quiz facebook result belongs someone rhythm,1
252,omg ask check diner guess music play background what everything want omg love george michael,1
253,shall say contest think best person school secret crush hmm say find,1
254,pack bag isbn,1
255,jeep crazy make think right either thief loser either way dmn,0
256,meet bennett curry tay swift concert ai finale get pic,1
257,even after try help headache,1
258,sister law house car tree get hit lightning last night not shit lol news www sorry,0
259,oh no server die support eg brotherinlaw onto though,0
260,hard choice ever hav 2 make stay internship home get job soon possible consider skin,0
261,vs stew jay meg sam haha,1
262,shiny new white 32gb iphone 3g boxing need take place later due priority,0
263,20654 new mg miss ashes kay drop,0
264,www sorry still school not summer,0
265,talk foreign company keep hear friend over sea,1
266,head pretty much sure italian anyway sincere motive bed 2am alarm ring 8,0
267,tell great body hold against,1
268,hoppusday no longer important swine flu,0
269,good morning get ready back school,0
270,ball chain shrew partner governor apply,1
271,get swine flu,0
272,not alone,0
273,lose title poophead,1
274,server never check soda taste like crap run card twice,0
275,circle time low,1
276,watch britain get talent,1
277,happy evening friend cafã,1
278,history essay exam scar,0
279,click link expect picture facebooksomething,0
280,insurance join earn ok must like roadtripping,1
281,cheer sir up,1
282,thanks,1
283,nothing crazy girl count lol tupperware without tupperware get show n tell enhancement,1
284,best sleep ever well miss dover st saturday night crs absolute sample 2day though sunshine vols adam soon hopefully,1
285,peter not quiet,0
286,little,0
287,not steal twilight book noooooooo,0
288,get like 1 referral,0
289,sat wait fry up,1
290,morning twin another long barn tag clip auction,1
291,countdown weekend,1
292,upset time but end up best thing ever happen,1
293,get chance son run district competition not normally around excited,1
294,good,1
295,want not study but worth color miss ya lol saying trap let kisses,0
296,pl ridiculous china want no else miss,0
297,seeking,1
298,spend kind money but instead make want diesel clothes however,0
299,can not believe actually follow ask officially idol p love username,1
300,love show bravo addiction,1
301,not even point outbecause time,1
302,aaaaaa fat not really like pleasant plump,1
303,yay spongebob also cream soda hour join radio omg stalker no not radio webb unfortunately,0
304,performance clip test shock,1
305,damn suck up early move stuff apartment boo,0
306,wake up awful youuuuuu,0
307,opener bad week lose arch crazy e3,0
308,lose rounder match ah well great game either way well played girl still obsessive listen fly love,1
309,possibility haha luis care area longer important,1
310,ok hungry get stop eat soonpeople wake up friendsall friend r workinghurry up get off party,1
311,weekly webcomic can not linger bad week script art pretty quick 2 2,1
312,monthly sushi not sound appeal,1
313,really good everybody,1
314,thanks empathy back filmed sinus rise sinufix much good,1
315,remind coco simon lab allow magnet katie except people eat upstairs,0
316,thanks ill keep updated lol â hamster,1
317,also please note guest exceptionally quiet kick time leigh shout not,1
318,ha yup good,1
319,site well really not bed but not comp leave stool lib say parting sweet sorrow,0
320,lucky umn email address exist forever postgraduation student staff not lucky,0
321,sorry not make,0
322,addict love,1
323,yes dun want no hard time man haha,0
324,doubt,1
325,not sure able regrets predictor dv natural language search engine necessarily make quant redundant,1
326,right always,1
327,nice,1
328,not expect,0
329,take dog yogi little walk sabbath back garden till 4pm get ready al plan,1
330,fat www gross ugly fat help help need new body bad cup friend not get bf,0
331,love novella not while though,0
332,rip nike chip barely get,0
333,breakfast bed while make design new note bag lovely,1
334,rampage,1
335,soon cute but not size,0
336,since internet out take time learn random stuff before bed thanks app ipod,1
337,climb manage 6a after false start exhaust still ill,0
338,guys card decline jama juice worker tell over loud speaker comp comp,0
339,going floridalike 9 days psyche packing right,1
340,sunday signal hate smoke alone friday fun,0
341,try finish paper brightside double date movie up,0
342,something code review,1
343,thought best hero petty kill good character off use thing lol,0
344,people not understand not get thing,0
345,personal anyway probably miss lol dvd cd not oxo,0
346,odore ruins cube religion,1
347,perfume name smell lazy get new glass,0
348,hate wake up early not able back sleep,0
349,hope good mood hold next week,1
350,friend give away 25 follower big whore ever,1
351,good plan,1
352,fine over,0
353,think hockey match soon want watch mtv movie award noodles,1
354,really not minimal sleep energy level r void help lol,0
355,chew worry glad r ok pray injure kill,0
356,head hurt della bad,0
357,has mental case,0
358,ball moment stupid titanic get overtime,0
359,want nice food someone make something,1
360,get bore buy mario theme clock calculator doi side note peach not give credit liga share,0
361,hiphop break omg pissed both awesome though,1
362,afterfxworkshop nice,1
363,already realise forget thing,0
364,wake up nap long head ramos birthday party get lazy stop,1
365,omg argentina,1
366,note,0
367,love weather jesse,1
368,little drunk warm close,1
369,hehehe great,1
370,still not movie miss ashes back hopefully lately plaza get online,0
371,live not mind though check something broadcast live,1
372,mmm seem besides love not emotion base deep,1
373,non need help photoshopjajjaja demã ja tesplicare ãs per la semarreta per el concert,1
374,echo que aj,1
375,ballad much good,1
376,canberra,0
377,turn fine about,1
378,sorry suck wish helpful advice still study but almost,0
379,spin gin juiceeeee moth fuck haha,1
380,million not like believe choice not blame wes michael instead jake nice guy finish last,0
381,www watch mv white horse taylor swift,0
382,get webcam,1
383,gloomy afternoon get nothing,0
384,definitely really good,1
385,good morning twin,1
386,lose another icon thought array facets,0
387,want brother home play sims 3,0
388,revise units like summer,1
389,thanks ross rogers great mtb ride 2 neo great company great alliance great ride,1
390,cherry computer room happy revising good luck,1
391,really really really miss cowboy,0
392,lobster check hard hardly no school exhaust,0
393,back low car diet salad suck,0
394,good morning sunshine hope great pray god sheer grace mercy flow love,1
395,lol ah step fam but over not let bother no known break heart but really,1
396,gutted get top not find hotel tell anywhere,0
397,kid party sun,0
398,hi survive parking lot,1
399,tear lmaothat cute,0
400,backlog item but sore facerotten fault frankly,0
401,book sick hall ever mumbai internet marketing seminar,1
402,polish think,0
403,silly shit cry move back bad irish,0
404,liedgreat,1
405,lady phn broken frm the site whats up you phn hv 2 snd bk try use th sidekick bt dot know work,0
406,angry never answer mmff,0
407,think nothing get good sun start shine,1
408,boring annoy friend,1
409,6 hour sleep last 2 head 2 eat pastor after service get airport 5,0
410,cold,0
411,welcome,1
412,awesome lol 2 sleep much school blah,0
413,workings always don,1
414,not real struggle satisfy everyone household time shop crazy busy wel,0
415,enough quiz back study,0
416,friend video promote,1
417,summit want,0
418,haha shut up,1
419,not think either lol,1
420,like orange beer cool glass orange beer,1
421,cool berlin might support might,1
422,americana,0
423,sentence describe love thank free mobile hard,1
424,no lol new finger joint help though,0
425,soon find small component mp3 make possible,0
426,perilous plunge ghostrider r close,0
427,sorry bout craig hope well get cough hobby cold plane recycle air,0
428,ta must new profile pic thailand top holiday list far not month though probably winter escape,1
429,r find hole 11yo son bedroom wall comma not happy toy strategically stack over,1
430,ok lunch before moment check dm,1
431,past 2 week try help mom find song assess finally after justin nozuka good,1
432,also watch hannah montana,1
433,worry beloved liverpool money money money,0
434,happen weather sun lightning,0
435,poor l,0
436,no wait ignore contest already over,0
437,watch hill sad lauren last show,0
438,stick traffic time m42 error,0
439,err happy jp jms well still best,1
440,2 sleep nowgnite tweets,1
441,bichonpoodle mix personally like big dog but cute pass up,1
442,yea stay baby favorite,1
443,miss best friend 3,0
444,home after long but great bout shower kick hit tha cellular,1
445,happy mother mother motherstobe mom get special gift,1
446,no isnt adorable here yer gd nice shopping n sunbathin xx,1
447,voodoo hangover suck like smoke pack cigarette not even 1 boo,0
448,eff up stats,0
449,learn not try funny morning spelling mistake not funny,0
450,really hot,0
451,overshadowed want stay like anticipate jp jms,1
452,love song david funny sa hm episode,1
453,good morning,1
454,funny night intense endingand dodgers win,1
455,canto 1 haha occasionally love nothing crazy,1
456,watch lottery draw 28 million nice sum indeed,1
457,want malaysia awesome haha read,1
458,blue lose,0
459,ahhhhhhhhhh photo facebook oh dear god not want,0
460,hot,1
461,totally down wid monarchy affiliate cup long weekend baby,1
462,,1
463,hello,1
464,get new glass,1
465,practice say word brigade mean thank say,1
466,another thing sleeper soon sure give idea cup love fun,1
467,drop phone sea wtf really stick no phone couple damn,0
468,disturb life suck delay stuff suck delay,0
469,tinytwitter good call friend katy well enjoy,1
470,whoop shirt arrive,1
471,damn like forget gig 24th,0
472,palmer keep up,1
473,watch chef master doctor pack shop expense log iroooooning his,0
474,math homework monster fell asleep txt lonely,0
475,off watch student play back 930 no phone,0
476,haha funny reply haha say kansas appreciate,1
477,morning roarface,1
478,soooooo not want home,0
479,love courtney okay you,1
480,dream funny always dream latelyhmmmm,1
481,meet up everyone mama house kid swim love sunday,1
482,evil poorly,0
483,glad truck even not insured,0
484,jon kate divorce preceding start shock barely try poor kid,0
485,www gid not worry vote nonstop col love much,1
486,hell people make fun back literally out right,0
487,say,0
488,raining,0
489,really not want weekend end,0
490,,0
491,leave,0
492,haha maybe fabulous,1
493,wish g house last night miss,0
494,dig everything but character limit censor like edit college paper page maximum,0
495,thanks,1
496,theã sad thing happen suppose terrible phase,0
497,monday blue,0
498,excite maybe sheffield red bull flugtag next yearhaharoad trip texas,1
499,garage annoy much annoy rainingwant lose ugly,0
500,neck stiff huhuhuhu guess take wrongsleepposition,0
501,hope well,0
502,hangover gh,0
503,sprinters need fb,1
504,bb mtv movie award,1
505,heppells open sentence describe nz school develop under current govt,0
506,watch up boy,1
507,hey johnson city right around corner keep prayer god bless,1
508,bedside without anxious count down second til portland,0
509,ok catch later roof roof fritz,1
510,back home expect fun but can not complain also not win contest,0
511,dear summer holiday gutter annoy friend yesterday,1
512,hungry,0
513,bed physically pain up kicker yearscoffee,0
514,ughhi no use svn 1 home miss,0
515,night,1
516,off movie shall walking rain annoyed want sun,0
517,sure thing,1
518,need religion assignment but school,0
519,hate,0
520,sound legit,1
521,deadpool bother scramble hell get breakfast calendar,0
522,omg project natal hit publishers use but stun try find box ps3,0
523,migraine still lay down thinkingcats race around househungry dq rap sundaehmm,0
524,voodoo friday get get 3 fun,1
525,watch sister sim wed wow kind grave guitar hero right coffee,1
526,aghhhhhhagahghahghaghag can not get melissa whitelaws party saturday wwwaaaaaaaa,0
527,tamagotchi plus color want bring back memory,1
528,sumo bored watch scary probably fault no,0
529,not thing another hate life right,0
530,lovely meet natalie happy make regular thing tweetdeck,1
531,fast stepped,1
532,exactly prayer,1
533,oz cut baby world miss,0
534,happy mother leigh,1
535,lai haha boom pow haha multiply check,1
536,dream last site sideman green goalie totally not leave alone dude try multiple time kill,0
537,sell not get,0
